Player,Position,Team,PaYds,PaTD,PaINT,RuAtt,RuYds,RuTD,Rec,ReYds,ReTD,FPTS,base,b_pass,b_rush,fum,LgPts,PosRank,VORP
Jaylin Lane,WR,WAS,0.0,0.0,0.0,0.5,2.0,0.0,9.9,117.2,0.8,26.6,26.62,0.0,0.0,-0.08,26.5,144,-149.0
Trevor Etienne,RB,CAR,0.0,0.0,0.0,23.1,92.3,0.4,8.0,58.2,0.2,26.7,26.65,0.0,0.0,-0.25,26.4,92,-153.7
Foster Moreau,TE,HOU,0.0,0.0,0.0,0.0,0.0,0.0,10.6,97.5,1.0,26.4,26.35,0.0,0.0,-0.08,26.3,73,-125.7
Jalen Royals,WR,KC,0.0,0.0,0.0,0.0,0.0,0.0,9.6,118.3,0.8,26.2,26.23,0.0,0.0,-0.08,26.2,145,-149.3
Isaac Guerendo,RB,SF,0.0,0.0,0.0,20.7,89.1,0.6,7.2,51.7,0.2,26.1,26.08,0.0,0.0,-0.22,25.9,93,-154.2
Devontez Walker,WR,BAL,0.0,0.0,0.0,0.6,2.5,0.0,8.4,114.5,0.9,25.5,25.5,0.0,0.0,-0.07,25.4,146,-150.1
Mac Jones,QB,SF,426.8,2.5,1.5,5.4,16.1,0.1,0.0,0.0,0.0,27.8,26.28,0.0,0.0,-0.84,25.4,38,-234.1
Isaiah Williams,WR,NYJ,0.0,0.0,0.0,0.8,4.9,0.0,10.2,109.8,0.6,25.3,25.27,0.0,0.0,-0.09,25.2,147,-150.3
Corey Kiner,RB,NE,0.0,0.0,0.0,0.0,0.0,1.4,8.5,64.4,0.3,25.1,25.14,0.0,0.0,-0.07,25.1,94,-155.0
Josh Cameron,WR,JAX,0.0,0.0,0.0,0.0,0.0,0.0,9.7,117.3,0.6,25.0,25.03,0.0,0.0,-0.08,25.0,148,-150.5
Audric Estime,RB,NO,0.0,0.0,0.0,6.2,26.4,0.2,10.5,68.6,0.4,23.6,23.6,0.0,0.0,-0.13,23.5,95,-156.6
Jameis Winston,QB,NYG,370.4,2.2,1.3,5.1,19.7,0.2,0.0,0.0,0.0,25.5,24.19,0.0,0.0,-0.7,23.5,39,-236.0
Deion Burks,WR,IND,0.0,0.0,0.0,0.0,0.0,0.0,8.5,103.2,0.6,22.4,22.42,0.0,0.0,-0.07,22.4,149,-153.1
Joe Milton III,QB,DAL,367.1,2.3,1.3,2.3,13.9,0.0,0.0,0.0,0.0,24.0,22.67,0.0,0.0,-0.74,21.9,40,-237.6
Devin Neal,RB,NO,0.0,0.0,0.0,11.9,46.9,0.3,7.9,57.2,0.3,21.9,21.91,0.0,0.0,-0.16,21.8,96,-158.3
Sione Vaki,RB,DET,0.0,0.0,0.0,16.4,67.9,0.4,6.7,47.7,0.2,21.9,21.86,0.0,0.0,-0.18,21.7,97,-158.4
Dont'e Thornton Jr.,WR,LV,0.0,0.0,0.0,0.0,0.0,0.0,7.4,105.6,0.6,21.6,21.56,0.0,0.0,-0.06,21.5,150,-154.0
Camden Brown,WR,DAL,0.0,0.0,0.0,0.0,0.0,0.0,7.8,101.2,0.6,21.5,21.52,0.0,0.0,-0.06,21.5,151,-154.0
Trey Benson,RB,ARZ,0.0,0.0,0.0,23.6,100.0,0.6,3.8,29.3,0.2,21.5,21.53,0.0,0.0,-0.22,21.3,98,-158.8
Raheim Sanders,RB,CLE,0.0,0.0,0.0,24.6,94.3,0.7,4.1,28.0,0.1,21.1,21.13,0.0,0.0,-0.23,20.9,99,-159.2
Calvin Austin III,WR,NYG,0.0,0.0,0.0,2.9,15.3,0.1,6.5,80.6,0.7,20.9,20.89,0.0,0.0,-0.08,20.8,152,-154.7
Tyler Badie,RB,DEN,0.0,0.0,0.0,3.7,16.6,0.0,8.6,69.9,0.6,20.9,20.85,0.0,0.0,-0.1,20.8,100,-159.3
Joe Flacco,QB,CIN,328.6,2.3,1.2,1.5,2.5,0.1,0.0,0.0,0.0,22.0,20.79,0.0,0.0,-0.67,20.1,41,-239.4
Trey Lance,QB,LAC,266.8,1.7,1.0,6.8,33.3,0.3,0.0,0.0,0.0,21.6,20.6,0.0,0.0,-0.53,20.1,42,-239.4
J.J. McCarthy,QB,MIN,289.8,1.8,1.0,5.1,21.2,0.3,0.0,0.0,0.0,21.7,20.71,0.0,0.0,-0.57,20.1,43,-239.4
Cade Klubnik,QB,NYJ,315.8,1.7,1.2,5.0,20.1,0.2,0.0,0.0,0.0,21.4,20.24,0.0,0.0,-0.66,19.6,44,-239.9
Dylan Laube,RB,LV,0.0,0.0,0.0,14.0,55.4,0.3,6.4,45.9,0.2,19.5,19.53,0.0,0.0,-0.16,19.4,101,-160.7
Anthony Richardson Sr.,QB,IND,219.6,1.3,0.9,9.4,46.8,0.5,0.0,0.0,0.0,20.8,19.86,0.0,0.0,-0.44,19.4,45,-240.1
Ty Simpson,QB,LAR,301.4,1.8,1.2,3.8,16.8,0.1,0.0,0.0,0.0,20.3,19.14,0.0,0.0,-0.62,18.5,46,-241.0
Rasheen Ali,RB,BAL,0.0,0.0,0.0,20.0,89.4,0.5,3.2,22.1,0.2,18.6,18.55,0.0,0.0,-0.19,18.4,102,-161.7
Marcus Mariota,QB,WAS,248.9,1.5,0.9,6.1,29.5,0.2,0.0,0.0,0.0,19.2,18.31,0.0,0.0,-0.49,17.8,47,-241.7
Quinn Ewers,QB,JAX,288.7,1.6,1.1,4.2,17.0,0.1,0.0,0.0,0.0,19.2,18.05,0.0,0.0,-0.6,17.5,48,-242.0
Tyrod Taylor,QB,GB,249.1,1.6,0.7,4.2,23.5,0.1,0.0,0.0,0.0,18.6,17.91,0.0,0.0,-0.51,17.4,49,-242.1
Terion Stewart,RB,KC,0.0,0.0,0.0,0.0,0.0,0.9,5.5,41.4,0.2,16.2,16.24,0.0,0.0,-0.04,16.2,103,-163.9
Taylen Green,QB,CLE,303.0,1.5,1.5,7.4,14.8,0.0,0.0,0.0,0.0,18.1,16.6,0.0,0.0,-0.62,16.0,50,-243.5
Bam Knight,RB,ARZ,0.0,0.0,0.0,0.0,0.0,0.9,5.1,38.5,0.2,15.6,15.55,0.0,0.0,-0.04,15.5,104,-164.6
Eli Heidenreich,RB,PIT,0.0,0.0,0.0,7.2,28.6,0.2,5.6,43.0,0.2,15.2,15.16,0.0,0.0,-0.1,15.1,105,-165.0
Gardner Minshew II,QB,ARZ,233.3,1.6,0.9,1.4,5.7,0.0,0.0,0.0,0.0,15.4,14.5,0.0,0.0,-0.46,14.0,51,-245.5
Ronnie Rivers,RB,LAR,0.0,0.0,0.0,7.6,30.2,0.3,2.5,25.2,0.3,11.6,11.64,0.0,0.0,-0.08,11.6,106,-168.5
