Player,Position,Team,PaYds,PaTD,PaINT,RuAtt,RuYds,RuTD,Rec,ReYds,ReTD,FPTS,base,b_pass,b_rush,fum,LgPts,PosRank,VORP
Garrett Wilson,WR,NYJ,0.0,0.0,0.0,2.3,11.6,0.0,85.5,1020.1,4.5,215.7,215.67,0.0,0.0,-0.7,215.0,18,39.5
Tee Higgins,WR,CIN,0.0,0.0,0.0,1.0,4.2,0.0,71.3,947.2,8.1,215.0,215.04,0.0,0.0,-0.58,214.5,19,39.0
Bucky Irving,RB,TB,0.0,0.0,0.0,233.6,956.4,5.8,37.0,304.6,1.9,209.3,209.3,0.0,4.02,-2.16,211.2,19,31.1
Ladd McConkey,WR,LAC,0.0,0.0,0.0,1.5,7.7,0.1,76.9,977.6,5.9,211.4,211.43,0.0,0.0,-0.63,210.8,20,35.3
Luther Burden III,WR,CHI,0.0,0.0,0.0,8.3,47.2,0.2,75.8,952.0,5.5,209.9,209.92,0.0,0.0,-0.67,209.2,21,33.7
Tetairoa McMillan,WR,CAR,0.0,0.0,0.0,0.9,3.8,0.0,72.2,1001.3,5.9,208.1,208.11,0.0,0.0,-0.58,207.5,22,32.0
Fernando Mendoza,QB,LV,3268.3,16.3,11.7,55.2,243.1,2.2,0.0,0.0,0.0,221.7,210.04,1.58,0.0,-6.67,205.0,27,-54.5
Quinshon Judkins,RB,CLE,0.0,0.0,0.0,272.3,1060.6,6.5,29.6,203.6,0.9,200.4,200.42,0.0,6.96,-2.42,205.0,20,24.9
Jacoby Brissett,QB,ARZ,3290.7,17.7,10.7,43.9,197.3,1.0,0.0,0.0,0.0,217.5,206.76,1.71,0.0,-6.77,201.7,28,-57.8
Terry McLaurin,WR,WAS,0.0,0.0,0.0,1.0,3.9,0.0,72.5,956.3,5.4,200.9,200.92,0.0,0.0,-0.59,200.3,23,24.8
Jameson Williams,WR,DET,0.0,0.0,0.0,6.5,42.2,0.7,60.7,960.1,5.9,200.5,200.53,0.0,0.0,-0.54,200.0,24,24.5
Bhayshul Tuten,RB,JAX,0.0,0.0,0.0,223.6,937.5,6.9,33.0,240.1,1.0,198.2,198.16,0.0,3.55,-2.05,199.7,21,19.6
Davante Adams,WR,LAR,0.0,0.0,0.0,0.0,0.0,0.0,58.9,831.3,9.2,197.2,197.23,0.0,0.0,-0.47,196.8,25,21.3
TreVeyon Henderson,RB,NE,0.0,0.0,0.0,182.0,792.4,6.3,39.5,291.3,2.0,197.7,197.67,0.0,0.95,-1.77,196.8,22,16.7
Colston Loveland,TE,CHI,0.0,0.0,0.0,0.0,0.0,0.0,74.7,851.3,5.9,195.2,195.23,0.0,0.0,-0.6,194.6,3,42.6
DJ Moore,WR,BUF,0.0,0.0,0.0,6.0,30.5,0.1,64.0,881.3,6.2,193.0,192.98,0.0,0.0,-0.56,192.4,26,16.9
David Montgomery,RB,HOU,0.0,0.0,0.0,212.6,888.3,7.1,31.2,223.2,1.0,191.0,190.95,0.0,2.46,-1.95,191.5,23,11.4
Christian Watson,WR,GB,0.0,0.0,0.0,2.7,16.4,0.1,58.0,883.2,7.2,191.8,191.76,0.0,0.0,-0.49,191.3,27,15.8
Parker Washington,WR,JAX,0.0,0.0,0.0,4.4,21.3,0.0,68.1,889.2,5.3,191.0,190.95,0.0,0.0,-0.58,190.4,28,14.9
Jadarian Price,RB,SEA,0.0,0.0,0.0,212.9,896.4,7.2,28.6,211.6,1.0,188.6,188.6,0.0,2.63,-1.93,189.3,24,9.2
Tyler Warren,TE,IND,0.0,0.0,0.0,5.5,18.0,0.1,78.0,799.1,4.9,189.7,189.71,0.0,0.0,-0.67,189.0,4,37.0
Jaylen Warren,RB,PIT,0.0,0.0,0.0,174.0,757.0,4.2,45.8,325.8,1.7,189.5,189.48,0.0,0.6,-1.76,188.3,25,8.2
D'Andre Swift,RB,CHI,0.0,0.0,0.0,191.8,858.8,6.9,27.9,235.6,0.9,184.1,184.14,0.0,1.91,-1.76,184.3,26,4.2
Rome Odunze,WR,CHI,0.0,0.0,0.0,1.4,7.0,0.0,55.8,855.7,6.8,182.9,182.87,0.0,0.0,-0.46,182.4,29,6.9
Aaron Rodgers,QB,PIT,3073.6,18.3,9.7,21.3,54.9,0.8,0.0,0.0,0.0,196.7,187.03,0.71,0.0,-6.31,181.4,29,-78.1
Mike Evans,WR,SF,0.0,0.0,0.0,0.0,0.0,0.0,58.2,868.4,6.1,181.6,181.64,0.0,0.0,-0.47,181.2,30,5.7
Rhamondre Stevenson,RB,NE,0.0,0.0,0.0,159.7,682.2,6.5,35.4,284.4,1.9,182.5,182.46,0.0,0.17,-1.56,181.1,27,1.0
DK Metcalf,WR,PIT,0.0,0.0,0.0,0.0,0.0,0.0,60.6,864.8,5.6,180.7,180.68,0.0,0.0,-0.48,180.2,31,4.7
Jonathon Brooks,RB,CAR,0.0,0.0,0.0,189.1,800.8,5.0,36.2,267.6,1.3,180.8,180.84,0.0,1.05,-1.8,180.1,28,0.0
Carnell Tate,WR,TEN,0.0,0.0,0.0,0.0,0.0,0.0,65.6,873.4,4.5,179.9,179.94,0.0,0.0,-0.52,179.4,32,3.9
Marvin Harrison Jr.,WR,ARZ,0.0,0.0,0.0,1.0,3.9,0.0,61.9,870.5,4.9,178.7,178.74,0.0,0.0,-0.5,178.2,33,2.7
MarShawn Lloyd,RB,GB,0.0,0.0,0.0,173.3,748.1,5.3,35.4,254.3,1.7,177.6,177.64,0.0,0.53,-1.67,176.5,29,-3.6
Stefon Diggs,WR,WAS,0.0,0.0,0.0,2.1,8.5,0.1,65.7,807.0,4.7,176.1,176.05,0.0,0.0,-0.54,175.5,34,0.0
Jordan Mason,RB,MIN,0.0,0.0,0.0,213.0,959.9,6.7,19.7,131.4,0.5,172.0,172.03,0.0,4.1,-1.86,174.3,30,-5.8
Quentin Johnston,WR,LAC,0.0,0.0,0.0,2.7,14.3,0.1,55.9,790.6,6.2,174.2,174.19,0.0,0.0,-0.47,173.7,35,-1.8
Rico Dowdle,RB,PIT,0.0,0.0,0.0,195.7,851.5,4.8,30.5,222.9,1.1,173.3,173.34,0.0,1.79,-1.81,173.3,31,-6.8
Harold Fannin Jr.,TE,CLE,0.0,0.0,0.0,5.5,16.0,0.1,74.2,752.6,3.7,173.9,173.86,0.0,0.0,-0.64,173.2,5,21.2
Tucker Kraft,TE,GB,0.0,0.0,0.0,1.1,4.5,0.0,65.4,778.5,5.0,173.7,173.7,0.0,0.0,-0.53,173.2,6,21.2
Brian Thomas Jr.,WR,JAX,0.0,0.0,0.0,3.6,20.7,0.1,57.3,828.5,5.1,173.4,173.42,0.0,0.0,-0.49,172.9,36,-2.6
Geno Smith,QB,NYJ,2876.2,15.6,10.5,42.4,164.4,0.9,0.0,0.0,0.0,188.8,178.29,0.25,0.0,-5.68,172.9,30,-86.6
Josh Downs,WR,IND,0.0,0.0,0.0,1.6,9.5,0.0,73.2,768.8,3.6,172.6,172.63,0.0,0.0,-0.6,172.0,37,-3.5
Courtland Sutton,WR,DEN,0.0,0.0,0.0,0.0,0.0,0.0,57.8,756.5,6.5,172.5,172.45,0.0,0.0,-0.46,172.0,38,-3.5
Makai Lemon,WR,PHI,0.0,0.0,0.0,0.0,0.0,0.0,60.2,817.5,4.9,171.4,171.35,0.0,0.0,-0.48,170.9,39,-4.6
Michael Pittman Jr.,WR,PIT,0.0,0.0,0.0,0.0,0.0,0.0,72.5,737.9,4.1,170.9,170.89,0.0,0.0,-0.58,170.3,40,-5.2
Wan'Dale Robinson,WR,TEN,0.0,0.0,0.0,4.6,25.1,0.1,73.5,774.2,2.8,170.8,170.83,0.0,0.0,-0.62,170.2,41,-5.3
RJ Harvey,RB,DEN,0.0,0.0,0.0,117.9,480.9,4.0,47.8,351.4,2.7,171.2,171.23,0.0,0.0,-1.33,169.9,32,-10.2
Sam LaPorta,TE,DET,0.0,0.0,0.0,0.0,0.0,0.0,68.1,713.6,4.8,168.3,168.26,0.0,0.0,-0.54,167.7,7,15.7
De'Zhaun Stribling,WR,SF,0.0,0.0,0.0,0.0,0.0,0.0,57.7,809.2,4.8,167.4,167.42,0.0,0.0,-0.46,167.0,42,-8.5
Kyle Pitts Sr.,TE,ATL,0.0,0.0,0.0,0.0,0.0,0.0,70.4,765.9,3.4,167.4,167.39,0.0,0.0,-0.56,166.8,8,14.8
Blake Corum,RB,LAR,0.0,0.0,0.0,176.2,812.6,7.5,19.6,139.3,1.1,166.4,166.39,0.0,1.2,-1.57,166.0,33,-14.1
Tony Pollard,RB,TEN,0.0,0.0,0.0,200.0,857.2,5.0,27.2,176.7,0.5,163.6,163.59,0.0,1.88,-1.82,163.7,34,-16.4
Jordan Addison,WR,MIN,0.0,0.0,0.0,2.1,11.5,0.1,57.5,741.3,5.1,164.0,163.98,0.0,0.0,-0.48,163.5,43,-12.0
Alec Pierce,WR,IND,0.0,0.0,0.0,0.5,3.3,0.0,55.5,807.1,4.5,163.5,163.54,0.0,0.0,-0.45,163.1,44,-12.4
Chris Godwin Jr.,WR,TB,0.0,0.0,0.0,1.0,4.0,0.0,61.5,728.8,4.8,163.6,163.58,0.0,0.0,-0.5,163.1,45,-12.4
George Kittle,TE,SF,0.0,0.0,0.0,0.6,2.8,0.0,61.3,703.1,5.1,162.5,162.49,0.0,0.0,-0.5,162.0,9,10.0
Travis Kelce,TE,KC,0.0,0.0,0.0,0.5,1.0,0.0,68.0,692.6,4.1,162.0,161.96,0.0,0.0,-0.55,161.4,10,9.4
Michael Wilson,WR,ARZ,0.0,0.0,0.0,0.0,0.0,0.0,62.6,778.2,3.5,161.4,161.42,0.0,0.0,-0.5,160.9,46,-14.6
KC Concepcion,WR,CLE,0.0,0.0,0.0,7.3,38.1,0.2,60.0,746.6,3.4,160.1,160.07,0.0,0.0,-0.54,159.5,47,-16.0
Matthew Golden,WR,GB,0.0,0.0,0.0,3.3,18.8,0.0,56.8,747.1,4.3,159.2,159.19,0.0,0.0,-0.48,158.7,48,-16.8
Jayden Reed,WR,GB,0.0,0.0,0.0,7.3,49.1,0.1,57.8,678.1,4.3,156.9,156.92,0.0,0.0,-0.52,156.4,49,-19.1
Kenny Gainwell,RB,TB,0.0,0.0,0.0,111.2,480.1,2.8,48.1,336.8,1.8,157.4,157.39,0.0,0.0,-1.27,156.1,35,-24.0
