PLAYER INFO,PLAYER INFO,PLAYER INFO,PLAYER INFO,PLAYER INFO,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS
Player,Position,Team,Auction,Opp.,PaCom,PaAtt,PaYds,PaTD,PaINT,RuAtt,RuYds,RuTD,Fum.,Tar,Rec,ReYds,ReTD,FPTS
Rhamondre Stevenson,RB,NE,11.2564609406,,0,0,0,0,0,159.7,682.2,6.5,,43.7,35.4,284.4,1.9,182.5
Jonathon Brooks,RB,CAR,10.8533416417,,0,0,0,0,0,189.1,800.8,5,,46.5,36.2,267.6,1.3,180.8
Dak Prescott,QB,DAL,10.7369575396,,364,545.2,4051.7,28.9,11.8,48.9,175.8,2,,0,0,0,0,295.5
MarShawn Lloyd,RB,GB,10.0876708213,,0,0,0,0,0,173.3,748.1,5.3,,47.2,35.4,254.3,1.7,177.6
Brock Purdy,QB,SF,10.0448558775,,329.4,492.1,3936.2,26.4,11.8,55.6,230.8,3.2,,0,0,0,0,293.5
Patrick Mahomes,QB,KC,9.4962299534,,358.1,549.1,3938,26.2,12.4,51.4,274.8,2.4,,0,0,0,0,291.8
Rico Dowdle,RB,PIT,9.1601529826,,0,0,0,0,0,195.7,851.5,4.8,,42.1,30.5,222.9,1.1,173.3
Isaiah Likely,TE,NYG,9.132960245,,0,0,0,0,0,0,0,0,,82.6,61.5,670.1,4,152.5
Rome Odunze,WR,CHI,9.0975892272,,0,0,0,0,0,1.4,7,0,,111.6,55.8,855.7,6.8,182.9
Jordan Mason,RB,MIN,8.8766714544,,0,0,0,0,0,213,959.9,6.7,,25.8,19.7,131.4,0.5,172
Mike Evans,WR,SF,8.7069430401,,0,0,0,0,0,0,0,0,,102.4,58.2,868.4,6.1,181.6
RJ Harvey,RB,DEN,8.7014586176,,0,0,0,0,0,117.9,480.9,4,,60.4,47.8,351.4,2.7,171.2
Bo Nix,QB,DEN,8.5063764667,,349.5,540.5,3689.3,25.2,12.5,73.2,321.9,3.4,,0,0,0,0,288.5
DK Metcalf,WR,PIT,8.4347475319,,0,0,0,0,0,0,0,0,,105.4,60.6,864.8,5.6,180.7
Carnell Tate,WR,TEN,8.2136918937,,0,0,0,0,0,0,0,0,,106.8,65.6,873.4,4.5,179.9
Dallas Goedert,TE,PHI,8.1776745368,,0,0,0,0,0,0,0,0,,79.3,59.7,610.5,4.8,149.6
Marvin Harrison Jr.,WR,ARZ,7.8801710972,,0,0,0,0,0,1,3.9,0,,113.1,61.9,870.5,4.9,178.7
Blake Corum,RB,LAR,7.7712551698,,0,0,0,0,0,176.2,812.6,7.5,,25.4,19.6,139.3,1.1,166.4
Kyler Murray,QB,MIN,7.7012981921,,347.1,516,3568.7,21,12.2,79,482.9,3.8,,0,0,0,0,285.6
Jake Ferguson,TE,DAL,7.5947515707,,0,0,0,0,0,0,0,0,,84,63.9,538.2,5,147.7
Tony Pollard,RB,TEN,7.2197480401,,0,0,0,0,0,200,857.2,5,,35.4,27.2,176.7,0.5,163.6
Stefon Diggs,WR,WAS,7.1488815529,,0,0,0,0,0,2.1,8.5,0.1,,103.9,65.7,807,4.7,176.1
Dalton Kincaid,TE,BUF,6.9412361151,,0,0,0,0,0,0,0,0,,77.1,55.5,649,4.2,145.6
Jared Goff,QB,DET,6.706670807,,366.1,535.5,4160.7,29.3,11.9,25.7,45.9,0.9,,0,0,0,0,281.7
Quentin Johnston,WR,LAC,6.6607330726,,0,0,0,0,0,2.7,14.3,0.1,,95,55.9,790.6,6.2,174.2
Brian Thomas Jr.,WR,JAX,6.4533044843,,0,0,0,0,0,3.6,20.7,0.1,,102.5,57.3,828.5,5.1,173.4
Josh Downs,WR,IND,6.2446722885,,0,0,0,0,0,1.6,9.5,0,,101.1,73.2,768.8,3.6,172.6
Courtland Sutton,WR,DEN,6.2214139237,,0,0,0,0,0,0,0,0,,99.6,57.8,756.5,6.5,172.5
Kenny Gainwell,RB,TB,6.1515440555,,0,0,0,0,0,111.2,480.1,2.8,,61.6,48.1,336.8,1.8,157.4
Makai Lemon,WR,PHI,5.964512448,,0,0,0,0,0,0,0,0,,95.2,60.2,817.5,4.9,171.4
Michael Pittman Jr.,WR,PIT,5.8470742882,,0,0,0,0,0,0,0,0,,107.1,72.5,737.9,4.1,170.9
Wan'Dale Robinson,WR,TEN,5.826478372,,0,0,0,0,0,4.6,25.1,0.1,,108,73.5,774.2,2.8,170.8
Matthew Stafford,QB,LAR,5.7528118647,,331.6,516.9,3921.5,31.2,10.9,25.3,26.3,0.7,,0,0,0,0,277.6
Kyle Monangai,RB,CHI,5.6760140286,,0,0,0,0,0,171.3,729.5,5.4,,34,24.6,193.7,0.9,154.7
Juwan Johnson,TE,NO,5.2470676902,,0,0,0,0,0,0,0,0,,81.7,58.5,614.5,3.3,139.8
Jaxson Dart,QB,NYG,5.1809651601,,292.3,452.9,3199.1,18.8,10.4,87.4,470.4,5.9,,0,0,0,0,275.2
De'Zhaun Stribling,WR,SF,5.1177183312,,0,0,0,0,0,0,0,0,,91.9,57.7,809.2,4.8,167.4
Hunter Henry,TE,NE,5.0845299623,,0,0,0,0,0,0,0,0,,73.4,52.7,588.5,4.6,139.2
Mark Andrews,TE,BAL,4.9634944453,,0,0,0,0,0,6.8,20.1,0.7,,68.9,47.6,513.3,5.6,138.7
Tyler Shough,QB,NO,4.7778158207,,343.6,528.4,3750.6,20,12.5,68.3,293.8,4.4,,0,0,0,0,273.3
Chuba Hubbard,RB,CAR,4.7747604499,,0,0,0,0,0,160.7,657.6,3.9,,38.9,30.7,220.6,1.3,149.7
J.K. Dobbins,RB,DEN,4.436267214,,0,0,0,0,0,172.8,794.6,5.9,,21.9,16.7,111.8,0.8,147.5
Jordan Addison,WR,MIN,4.3897220435,,0,0,0,0,0,2.1,11.5,0.1,,95.8,57.5,741.3,5.1,164
Chris Godwin Jr.,WR,TB,4.3150450061,,0,0,0,0,0,1,4,0,,92.3,61.5,728.8,4.8,163.6
Alec Pierce,WR,IND,4.2963356368,,0,0,0,0,0,0.5,3.3,0,,93.9,55.5,807.1,4.5,163.5
Rachaad White,RB,WAS,4.0610529078,,0,0,0,0,0,122.4,513.7,3.8,,40.2,36.3,244,1.7,145.1
Jordan Love,QB,GB,3.9946824214,,328.1,507,3809,25,11.1,47,194.1,1.4,,0,0,0,0,269.1
Dalton Schultz,TE,HOU,3.9661689413,,0,0,0,0,0,0,0,0,,79.2,57.9,558,3.4,134.1
Jacory Croskey-Merritt,RB,WAS,3.9598269067,,0,0,0,0,0,180.1,779.2,6.2,,18.5,16.1,112.4,0.3,144.3
Michael Wilson,WR,ARZ,3.8994726096,,0,0,0,0,0,0,0,0,,101.8,62.6,778.2,3.5,161.4
KC Concepcion,WR,CLE,3.6914986492,,0,0,0,0,0,7.3,38.1,0.2,,97.4,60,746.6,3.4,160.1
